AÑO;TIPO;ESTADO;No. CONVOCATORIA;NOMBRE CONVOCATORIA;ENTIDAD;ROL UDFJC;ALIADO;PROGRAMA;MESES;GRUPOS DE INVESTIGACIÓN;VALOR PROYECTO;RECURSOS EN EFECTIVO FINANCIADO A UDFJC;VALOR PROYECTO EFECTIVO;VALOR PROYECTO ESPECIE;SOLICITADO A ENTIDAD;UDFJC EFECTIVO;UDFJC ESPECIE;"SOLICITADO ALIADO 1
EFECTIVO";"SOLICITADO ALIADO 1
ESPECIE";"SOLICITADO ALIADO 2
EFECTIVO";"SOLICITADO ALIADO 2
ESPECIE";"SOLICITADO ALIADO 3
EFECTIVO";"SOLICITADO ALIADO 3
ESPECIE";"SOLICITADO ALIADO 4
EFECTIVO";"SOLICITADO ALIADO 4
ESPECIE";RESULTADOS ESPERADOS;PRODUCTOS ESPERADOS;% Aportes Colciencias;% Aportes UDFJC;% Aportes UDFJC Efectivo;% Aportes UDFJC Especie;% Aportes Aliado 1;% Aportes Aliado 2;% Aportes Aliado 3;% Aportes Aliado 4
2021;Propuesta de Investigación Alianza Convenio;Contrato firmado;N/A;"Presentación propuesta al Proyecto de Inversión 1763 “Un nuevo contrato para mujeres cuidadoras en Fontibón”, 1782 ""Un nuevo contrato para la participación ciudadana en Fontibón"" y 1758 ""Un nuevo contrato para la Cultura en Fontibón""";Alcaldía de Fontibón;Ejecutor;Alcaldía de Fontibón;N/A;6;"UDFJC:
- Vivencias"; $ 440.000.000 ; $ 320.000.000 ; $ 384.000.000 ; $ 56.000.000 ; $ 320.000.000 ; $ 64.000.000 ; $ 56.000.000 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"TALLERES:
1. ¿Cómo renovar el sentido de la participación social comunitaria en torno a los conceptos de lo común y la comunidad?
2. La cuestión de los derechos humanos, económicos sociales y culturales en la construcción de territorios de la participación
3. Participación, convivencia y noviolencia
4. Gestión cultural y gestión política
5. Formas económicas en la gestión cultural
6. Tejiendo desarrollo 
7. ¿Como pasar del sufrimiento y la enfermedad a la salud y la felicidad, a través del autocuidado?
8. Autocuidado y Desarrollo personal 
9. Cuidado personal y autoconocimiento
10. El auto cuidado y el cuidado de otr@s: Una propuesta de plenitud
11. El auto cuidado y la sanación: Una mirada integral cuerpo, mente y espiritualidad. ";"- Documento para ser publicado que enfatiza en elementos de orden político, ético, existencial, estético de los diferentes componentes que integran el convenio, abordando los componentes de cuidado, participación y cultura  
- Se deberá diseñar, elaborar y entregar una cartilla por cada uno de los componentes del proyecto; la descripción técnica tendrá un formato abierto de 22x30 cm y cerrada de 22 X15 cm, con terminado caballete
de 15 hojas tiro y retiro, impreso por las dos caras en dos tintas, con portada y contraportada en tres colores
- Se creará un artículo académico para difundir en revista con ISBN, por cada uno de los componentes trabajados en el proceso de investigación-formación
- Se desplegará un proceso de difusión y comunicación, a través del espacio radial, Voces y Devenires, el Doctorado en Estudios Sociales cuenta con un programa propio “Rizoma” en el cual se estarán transmitiendo noticias del proyecto “Fontibón como espacio cultural, democrático y del cuidado”, además de entrevistas a participantes del proceso investigativo-formativo.
- El documento deberá contener los testimonios e insumos testimoniales recogidos a lo largo del proceso de investigación formación 
- Desarrollo de un proceso de formación orientado a hombres y mujeres de la localidad de Fontibón. Se busca la profundización en la configuración de imaginarios, prácticas y acciones sobre el cuidado, cultura y participación, estableciendo un proceso reflexivo entre las dinámicas institucionales y las vivencias  de la ciudadanía de
Cuidado y en la interacción cuidado-autocuidado en diversos contextos
- Con el apoyo de un equipo de profesionales se trabajará con 30 cuidadores/as que estén participando en el proceso formativo e investigativo. Se impulsa una reflexión y un trabajo teórico y práctico que involucre   una concepción crítica de Cuidado y Autocuidado que transite más allá de los sesgos de género o sexo y que muestre sus claras implicaciones éticas, políticas y existenciales. 
- Desarrollo de cinco tipos de talleres dirigidos a hombres y mujeres que asisten al proceso formativo/investigativo. Estos talleres que enfatizan en aspectos vivenciales, existenciales, éticos y políticos, configuran aspectos que deben ser centrales en un cuidador/a. Son procesos de corte afectivo que le apuntan a la desubjetivación y, además, a formas mutantes que permitan tránsitos más allá de significados y representaciones que circulan sobre el Cuidado en un plano de organización. 
- Cartografías sociales";72,73%;27,27%;53,33%;46,67%;0,00%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;802;N/A;MinCiencias;Co-ejecutor;"1- Universidad Minuto de Dios
2- Corporación Centauro Bacatá


Alcaldía de Choachí - Alcaldía de Fómeque ";N/A;18;N/A; $ 547.842.614 ; $ -   ; $ 442.541.614 ; $ 105.301.000 ; $ 349.991.614 ; $ 52.650.000 ; $ 24.301.000 ; $ 39.900.000 ; $ 81.000.000 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"* Participación ciudadana en productos CTel
* Alianza con el municipio para promover la apropiación social del conocimiento por parte de la población.
* Promover la creación de dos (2) comités de vigilancia, cuidado y recuperación de los acuíferos existentes en el área de influencia del estudio
* Formación de 4 estudiantes de pregrado
* Formación de 2 estudiantes de maestría
";"* Mapa geomorfológico que identifique los acuíferos presentes en el área de estudio y su interrelación.
* Cartilla de cuidado y uso de los acuíferos
* Un libro
* Un artículo
";63,89%;14,05%;68,42%;31,58%;22,07%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;802;N/A;MinCiencias;Co-ejecutor;"1- Universidad Minuto de Dios
2- Corporación Centauro Bacatá

Beneficiarios:
I.E.D IGNACIO PESCADOR DE CHOACHI
I.E.D MONSEÑOR AGUSTIN GUTIERREZ DE FOMEQUE
";N/A;18;N/A; $ 507.842.614 ; $ -   ; $ 402.641.614 ; $ 105.201.000 ; $ 349.991.614 ; $ 52.650.000 ; $ 8.101.000 ; $ -   ; $ 97.100.000 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"* Participación ciudadana en productos Ctel
* Alianza con centro dedicado a la apropiación social del conocimiento
* Formación de 4 estudiantes de pregrado
* Formación de dos estudiantes de maestría";"* Mapa de cobertura vegetal
* Un libro
* Un articulo
* Guía de cuidado, uso de especies vegetales";68,92%;11,96%;86,67%;13,33%;19,12%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;806;N/A;MinCiencias;Ejecutor;Programa ECOSNORD Francia;N/A;36;N/A; $ 78.000.000 ; $ -   ; $ -   ; $ 78.000.000 ; $ -   ; $ -   ; $ 78.000.000 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"* Proyecto de documental UVED Parque Chingaza (equivalente del proyecto UVED Reerva de la Biosfera Mapimí) 
* Publicaciones (VIA revista sobre el ecosistema, Geocarrefour, …)
* Coordinación de un Simposio en el 9º Congreso Internacional del Consejo Europeo de Investigaciones Sociales de América Latina (CEISAL) Alvaro Gutiérrez/Teresa Alarcón 2019
* Coordinación de un número de la revista ORDA 2021";0;0,00%;100,00%;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;806;N/A;MinCiencias;Ejecutor;Programa ECOSNORD Alemania;N/A;24;N/A; $ 108.915.069 ; $ -   ; $ 69.657.534 ; $ 39.257.535 ; $ 69.657.534 ; $ -   ; $ 39.257.535 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;0;0;63,96%;36,04%;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;807;N/A;MinCiencias;Ejecutor;HOME ROBOTIK SAS;N/A;24;N/A; $ 774.423.518 ; $ -   ; $ 599.623.518 ; $ 174.800.000 ; $ 528.252.518 ; $ 51.371.000 ; $ 124.400.000 ; $ 20.000.000 ; $ 50.400.000 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"* PROTOTIPO FUNCIONAL DE UN
SISTEMA SUMERGIBLE DE _VISIÓN ARTIFICIAL PARA LA MEDICIÓN Y PROCESAMÍENTO
BIOMECÁNICO DEL TREN INFERIOR HUMANO DURANTE LA REHABILITACIÓN EN PISCINA PARA
ENFERMEDADES NEUROMUSCULARES
* Sistema de Visión Artificial Sumergible
* Sistema de Seguimiento Automático del Objetivo
* Sistema de Procesamiento y Visualización de Datos.
* Sistema de Telemedicina
";"* Artículo de investigación
* Libro resultado de investigación
* Ejemplar del libro resultado de la investigación o carta de aceptación de publicación del libro expedida por el comité
editorial
* Producto tecnológico 
patentado o en proceso de solicitud de patente
* Prototipo de sistema
* Registro de Software";68,21%;22,70%;29,23%;70,77%;9,09%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;808;N/A;MinCiencias;Ejecutor;N/A;N/A;30;N/A; $ 439.445.398 ; $ -   ; $ 259.271.998 ; $ 180.173.400 ; $ 241.989.411 ; $ 17.282.587 ; $ 180.173.400 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"* Formación culminada del estudiante de
doctorado en el marco del proyecto.
* Vinculación del joven investigador al
proyecto
* Formación culminada del estudiante de
pregrado al proyecto
* Tesis de maestría en ejecución,
enmarcada en el proyecto financiado
* Organización de eventos especializados
* Presentación de los resultados ante las autoridades competentes
* Documento sobre la patente y/o Registro de propiedad intelectual";"* Dos (2) artículos publicados en revistas A de PUBLINDEX (Q1 o Q2).
* Dos (2) artículos publicados en revistas B de PUBLINDEX (Q3)
* Libro - documento final tesis Doctoral
";55,07%;44,93%;8,75%;91,25%;0,00%;0,00%;0,00%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;804;N/A;MinCiencias;Co-ejecutor;"1- Konrad Lorenz - Ejecutor
2- Universidad Católica de Oriente - Coejecutor
3- Log On Colombia";N/A;18;N/A; $ 862.558.827 ; $ -   ; $ 536.553.394 ; $ 326.005.433 ; $ 536.553.394 ; $ -   ; $ 131.800.000 ; $ -   ; $ 174.405.433 ; $ -   ; $ -   ; $ -   ; $ 19.800.000 ; $ -   ; $ -   ;"* Perfil sociodemográfico y psicográfico de los estudiantes de educación virtual de dos zonas de Antioquia, identificando su perfil tecnológico, su historia de interacción con entornos virtuales y sus competencias de autorregulación
* Evidencia, a partir de las actividades de investigación y la metodología descrita, de los componentes pedagógicos necesarios para la implementación del programa.";"* Dos artículos sometidos a revistas de impacto (Q1-Q2).
* Informe final sobre el diseño, construcción y validación del programa de intervención pedagógica para la prevención de la deserción y aumento del éxito estudiantil.
* Mundo virtual 3D para la implementación y uso del programa de intervención pedagógica para la prevención de la deserción y aumento del éxito estudiantil.
* Informe final sobre las recomendaciones para el uso del programa de intervención pedagógica para la prevención de la deserción y aumento del éxito estudiantil.
* Participación en dos eventos científicos.
";62,20%;15,28%;0,00%;100,00%;20,22%;0,00%;2,30%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;807;N/A;MinCiencias;Ejecutor;"1- Empresa ING - Elkin Yamith Gualteros Vanegas
2- Hospital Central de la Policia Nacional HOCEN";N/A;34;N/A; $ 355.285.227 ; $ -   ; $ 288.285.227 ; $ 67.000.000 ; $ 229.335.227 ; $ 23.000.000 ; $ 42.000.000 ; $ 26.200.000 ; $ -   ; $ -   ; $ -   ; $ 9.750.000 ; $ 25.000.000 ; $ -   ; $ -   ;"* Tener un protocolo indicador de los pacientes con neumon  a adquirida en comunidad que
pueden acceder en el sistema hospitalizaci on domiciliaria.
 * Dispositivos biom etricos basados en el IoT que obtengan constantemente los signos vitales del paciente.
* Un software que se encargue de registrar y administrar la evoluci on del paciente teniendo
en cuenta la monitorizaci on constante de los dispositivos conectados a la red y que el
centro asistencial pueda observar los datos recogidos.
* Documento que gestione la parte administrativa de los instrumentos y sirva de guía para
respuesta inmediata en caso de emergencia u otra eventualidad.
* Evidencia de una prueba piloto en el que se especi que la evoluci on de los pacientes, los
gastos y la viabilidad del proyecto a una escala mayor.";"PONENCIAS: Participacion congresos internacionales para la divulgaci on de resultados.
PONENCIAS: Participacion en congresos nacionales para la divulgaci on de resultados.
ARTICULO ORIGINAL EN REVISTA INDEXADA:Articulo original publicado en cualquier
revista clasi cadas como A1, A2, B, C.
PRODUCTOS TECNOL OGICOS CERTIFICADOS O VALIDADOS: Plataforma virtual (software)
de conexi on paciente-centro asistencial.
PRODUCTOS TECNOL OGICOS CERTIFICADOS O VALIDADOS : Validaci on de los dispositivos
de monitorizaci on de signos vitales a pacientes con neumonia adquirida en comunidad.
CARTILLA: Elaboraci on y divulgaci on de una cartilla donde se evidencie la propuesta de
un nuevo modelo de hospitalizaci on domiciliaria con sus respectivos protocolos y normas.
REALIZACI  ON DE CURSOS DE CAPACITACI  ON, SEMINARIOS Y TALLERES : Realizar
una capacitaci on al personal de la salud de acuerdo a la investigaci on y procedimientos de
nuestro proyecto.
PRESENTACI  ON DE LOS RESULTADOS A LAS AUTORIDADES LOCALES, NACIONALES
Y SECTORIALES: Presentar resultados del estudio acerca de la viabilidad de un modelo de";64,55%;18,30%;35,38%;64,62%;7,37%;0,00%;9,78%;0,00%
2018;Propuesta de Investigación Convocatoria;No Avalada;808;N/A;MinCiencias;Ejecutor;"Grupos de investigación UDFJC: 
1- GCEM
2- LIFAE
3- GITUD";N/A;24;N/A; $ 387.714.048 ; $ -   ; $ 239.984.850 ; $ 147.729.198 ; $ 239.984.850 ; $ -   ; $ 147.729.198 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;"* Profundo conocimiento de las funciones de diseño, construcción e implementación de sistemas de registro inteligentes, al igual que un procedimiento técnico  ara la selección del hardware y software requerido en el proyecto
* Validación y mejora de los sistemas de apantallamiento y aislamiento gracias a las pruebas en laboratorio, simulación a través de herramientas  computacionales. Identificación de los sistemas de conexión y la metodología de montaje óptima.
* El estudio preliminar de mercado permitirá realizar la búsqueda de principales actores de mercado, fortalezas, debilidades y diferencias con los competidores. Se realizará un análisis de la distribución geográfica, temporal y tipología del mercado. Por último, se realizará la búsqueda de competidores
* Se conseguirá identificar los procesos y requisitos necesarios para realizar la protección intelectual del conocimiento generado";"* Formación culminada del estudiante de maestría (2)
* Participación en eventos especializados, presentando los resultados de la investigación (2)
* Se dictará un curso de diseño de PCBs de veinte (20) horas
* Artículos de investigación A2 (2)
* SOFTWARE: Código fuente o manual de instalación. Registro de software ante entidades competentes
* PROTOTIPO: Planos de diseño o sus fotografías o demás soportes de existencia";61,90%;38,10%;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%
